article_id,garment_types,brand,Fabric,Pattern,Collar,Fastening,Neckline,Shape,Length,Fit,Color,sample
ON321C1Q3-G11,casual_dress,ONLY,Missing,Plain,Missing,Missing,Square neck,Fitted,Knee-length,Regular Fit,Brown,train
VM321C0XY-K11,casual_dress,Vera Mont,Jersey,Plain,Standing collar,Zip,Square neck,Fitted,Knee-length,Regular Fit,Blue,train
P1421C0Y2-Q11,knitted_dress,Patrizia Pepe,Knit,Plain,Missing,Laces,Backless,Fitted,Short,Slim Fit,Black,train
BB121C0XQ-Q11,shirt_dress,BOSS,Missing,Plain,Turn-down collar,Drawstring fastening,Missing,Fitted,Knee-length,Regular Fit,Black,train
Y0121C2MD-A11,casual_dress,YAS,Missing,Plain,Missing,Laces,Cache-coeur,Fitted,Short,Regular Fit,Beige,train
BR321C0EJ-G11,shirt_dress,Bruuns Bazaar,Chiffon,Plain,Standing collar,Button,Missing,Fitted,Knee-length,Loose Fit,Red,train
H5O21C02A-M11,evening_dress,Halston,Jersey,Plain,Missing,Zip,Low-cut v-neck,Fitted,Extra short,Regular Fit,Green,train
VEI21C0D7-I11,jersey_dress,Versace Jeans Couture,Jersey,Print,Missing,Missing,Crew neck,Body-hugging,Short,Skinny Fit,Purple,train
C1Q21C02F-I11,shift_dress,Cotton On,Rib,Plain,Standing collar,Missing,Crew neck,Body-hugging,Short,Skinny Fit,Brown,train
L2521C0GP-Q11,knitted_dress,Liu Jo Jeans,Knit,Missing,Missing,Missing,Crew neck,Straight,Knee-length,Slim Fit,Black,train
1XA21C02P-M11,casual_dress,Xandres,Satin,Plain,Standing collar,Zip,Low-cut v-neck,Flared,Calf-length,Regular Fit,Green,val
VM321C0XO-J11,evening_dress,Vera Mont,Chiffon,Plain,Missing,Zip,V-neck,Straight,Short,Slim Fit,Pink,train
BEJ21C1BC-B11,knitted_dress,Bershka,Rib,Plain,Polo neck,Missing,Crew neck,Straight,Calf-length,Slim Fit,Beige,train
MI421C0FJ-Q11,casual_dress,Minimum,Missing,Plain,Standing collar,Missing,Missing,Fitted,Calf-length,Slim Fit,Black,train
PE121C0WI-A11,casual_dress,Pepe Jeans,Missing,Plain,Standing collar,Laces,Low-cut v-neck,Flared,Calf-length,Regular Fit,White,train
BY221C0L3-Q11,casual_dress,b.young,Chiffon,Animal print,Missing,Belt,Cache-coeur,Fitted,Short,Regular Fit,Beige,train
L0J21C0LG-K11,maxi_dress,Live Unlimited London,Chiffon,Plain,Standing collar,Laces,Low-cut v-neck,Flared,Long,Regular Fit,Blue,train
VM021C04R-K12,jersey_dress,Vero Moda Petite,Jersey,Plain,Missing,Missing,Crew neck,Fitted,Long,Slim Fit,Blue,train
M4R21C0FT-I11,occasion_dress,Marc Cain,Jersey,Plain,Standing collar,Zip,Missing,Fitted,Long,Slim Fit,Pink,val
ES121C2DE-K11,casual_dress,Esprit,Sweat,Plain,Hood,Missing,Missing,Cocoon,Short,Loose Fit,Blue,val
EL941G00P-P11,work_dress,Ellesse,Sweat,Print,Hood,Zip,Crew neck,Straight,Long,Regular Fit,Orange,val
CO121C1FB-Q11,casual_dress,comma,Jersey,Plain,Lapel collar,Zip,V-neck,Fitted,Short,Regular Fit,Black,train
PUC21C16X-Q11,knitted_dress,PULL&BEAR,Rib,Plain,Missing,Missing,Crew neck,Fitted,Calf-length,Slim Fit,Black,train
HU721C0QO-M11,casual_dress,HUGO,Satin,Plain,Missing,Button,Low-cut v-neck,Fitted,Short,Regular Fit,Green,val
EA721C00S-Q11,casual_dress,EA7 Emporio Armani,Sweat,Print,Hood,Missing,Missing,Straight,Short,Loose Fit,Black,val
UP121C1HJ-M11,casual_dress,Ulla Popken,Chiffon,Missing,Standing collar,Missing,Crew neck,Straight,Calf-length,Regular Fit,Brown,train
M1B21C01L-A11,occasion_dress,My Mascara Curves,Chiffon,Plain,Missing,Zip,Backless,Fitted,Long,Slim Fit,White,train
DF221C0KO-G11,maxi_dress,Diane von Furstenberg,Tulle,Floral,Missing,Zip,Low-cut v-neck,Fitted,Long,Regular Fit,Pink,train
KRG21C04S-K11,evening_dress,Kraimod,Tulle,Plain,Standing collar,Zip,Boat neck,Flared,Knee-length,Slim Fit,Blue,train
JY121C169-K11,denim_dress,JDY,Denim,Missing,Turn-down collar,Other,Missing,Fitted,Short,Slim Fit,Blue,val
M9121C6S0-A11,casual_dress,Mango,Jersey,Plain,Standing collar,Button,Crew neck,Fitted,Calf-length,Regular Fit,Beige,train
MO421C0BB-Q11,work_dress,Modström,Jersey,Plain,Standing collar,Missing,Square neck,Body-hugging,Knee-length,Skinny Fit,Black,train
SE521C1FX-C11,casual_dress,Selected Femme,Missing,Print,Standing collar,Button,V-neck,Straight,Knee-length,Regular Fit,Beige,val
BY221C0HK-G11,shirt_dress,b.young,Chiffon,Floral,Missing,Button,Low-cut v-neck,Flared,Knee-length,Loose Fit,Brown,train
UR621C02G-A11,jersey_dress,Urban Classics,Jersey,Plain,Standing collar,Missing,Crew neck,Straight,Knee-length,Loose Fit,White,train
V1021C424-O11,knitted_dress,VILA,Knit,Striped,Standing collar,Missing,Crew neck,Straight,Short,Regular Fit,Brown,train
OP421C0I5-K11,denim_dress,ONLY Petite,Denim,Missing,Turn-down collar,Button,Missing,Straight,Extra short,Regular Fit,Grey,val
VE121C3F7-O11,knitted_dress,Vero Moda,Knit,Marl,Standing collar,Missing,Crew neck,Fitted,Calf-length,Slim Fit,Beige,val
KA321C15X-Q11,casual_dress,Kaffe,Missing,Plain,Standing collar,Missing,Low-cut v-neck,Straight,Knee-length,Regular Fit,Black,train
L8381H01H-Q11,maxi_dress,LASCANA,Jersey,Paisley,Missing,Missing,Square neck,Missing,Long,Slim Fit,Brown,val
WO321C04P-Q11,maxi_dress,Won Hundred,Jersey,Plain,Standing collar,Missing,Backless,Fitted,Long,Slim Fit,Black,train
M1B21C023-M11,occasion_dress,My Mascara Curves,Chiffon,Marl,Standing collar,Zip,Low-cut v-neck,Fitted,Long,Regular Fit,Green,train
CE321C0DH-K11,jersey_dress,Cecil,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Knee-length,Regular Fit,Grey,train
SG721C0Z1-I11,occasion_dress,Swing,Jersey,Marl,Standing collar,Zip,Backless,Straight,Long,Slim Fit,Grey,train
EVI21C001-Q11,knitted_dress,Even&Odd Tall,Rib,Plain,Standing collar,Missing,Crew neck,Fitted,Long,Slim Fit,Black,train
SA321C0KT-G11,casual_dress,Samsøe Samsøe,Tulle,Plain,Standing collar,Laces,Backless,Fitted,Long,Slim Fit,Red,val
R5921C08H-C11,jersey_dress,Ragwear,Jersey,Marl,Missing,Belt,Crew neck,Missing,Extra short,Missing,Grey,val
ARC21C077-Q11,casual_dress,Armani Exchange,Other,Plain,Missing,Zip,Crew neck,Fitted,Short,Slim Fit,Black,val
BY221C0KM-K11,casual_dress,b.young,Missing,Marl,Standing collar,Missing,V-neck,Fitted,Short,Regular Fit,Blue,train
Y0121C2ID-Q11,evening_dress,YAS,Velvet,Colourful,Missing,Laces,Cache-coeur,Fitted,Short,Regular Fit,Blue,train
TO121C128-B11,jersey_dress,Tommy Hilfiger,Jersey,Print,Missing,Missing,Crew neck,Straight,Knee-length,Loose Fit,Beige,val
VE121C48D-Q11,casual_dress,Vero Moda,Chiffon,Floral,Standing collar,Missing,Low-cut v-neck,Straight,Short,Regular Fit,Brown,train
PUC21C185-N11,maxi_dress,PULL&BEAR,Missing,Plain,Standing collar,Missing,Crew neck,Straight,Long,Regular Fit,Grey,train
EV421C1CD-J11,maxi_dress,Even&Odd,Jersey,Plain,Standing collar,Laces,Backless,Fitted,Long,Slim Fit,Pink,val
ON321C3FM-K11,maxi_dress,ONLY,Chiffon,Plain,Standing collar,Zip,Low-cut v-neck,Fitted,Long,Regular Fit,Black,val
TI521C0AV-K11,jersey_dress,Tiger of Sweden,Jersey,Plain,Standing collar,Missing,Crew neck,Fitted,Short,Slim Fit,Grey,train
M4R21C0GC-I11,evening_dress,Marc Cain,Chiffon,Plain,Missing,Button,Crew neck,Fitted,Knee-length,Regular Fit,Pink,train
BB121C0U6-A11,evening_dress,BOSS,Missing,Plain,Missing,Zip,Crew neck,Fitted,Calf-length,Loose Fit,White,train
F0O21C08A-Q11,casual_dress,Faithfull the brand,Jersey,Plain,Standing collar,Missing,Scoop neck,Fitted,Extra short,Regular Fit,Black,train
L2Y21C075-M11,casual_dress,Long Tall Sally,Jersey,Floral,Missing,Button,Crew neck,Fitted,Calf-length,Regular Fit,Beige,val
TW321C0GB-Q11,occasion_dress,TWINSET,Chiffon,Missing,Standing collar,Missing,Cache-coeur,Fitted,Long,Regular Fit,Silver,train
0HC21C04L-Q11,shirt_dress,Hofmann Copenhagen,Missing,Plain,Missing,Button,Backless,Fitted,Calf-length,Regular Fit,Black,train
Z1721C1F2-K11,knitted_dress,Zizzi,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Knee-length,Regular Fit,Blue,train
CR221C0QQ-Q11,evening_dress,Cream,Missing,Plain,Missing,Belt,Cache-coeur,Flared,Long,Regular Fit,Black,val
M5921C19O-J11,jersey_dress,Morgan,Jersey,Floral,Missing,Button,Cache-coeur,Fitted,Short,Regular Fit,Pink,train
L0S21C06Q-Q11,occasion_dress,Lauren Ralph Lauren Woman,Jersey,Plain,Missing,Zip,Cache-coeur,Fitted,Long,Slim Fit,Black,train
AX821C05Y-Q11,casual_dress,Anna Field Curvy,Jersey,Plain,Standing collar,Missing,Cache-coeur,Flared,Knee-length,Regular Fit,Black,train
VM321C111-K11,occasion_dress,Vera Mont,Jersey,Marl,Standing collar,Zip,Crew neck,Fitted,Long,Regular Fit,Grey,train
